project,subproject,rca,program_title,yr3_forecast,yr2_forecast,yr1_forecast,yr0_plan,yr1_approp,yr2_oblig,key
project-5,subproject-12,rca-54,program-64,21839,14263.98,14358.06,11374.77,7529.18,7408.21,project-5-subproject-12-rca-54program-64
project-4,subproject-26,rca-27,program-10,11796,13901.6,16319.54,16634.51,12395.16,11049.39,project-4-subproject-26-rca-27program-10
project-1,subproject-37,rca-25,program-31,24500,21526.72,24459.68,27682.48,30291.27,26250.93,project-1-subproject-37-rca-25program-31
project-18,subproject-11,rca-26,program-102,28255,18746.69,16392.57,14595.31,9472.69,9112.41,project-18-subproject-11-rca-26program-102
project-14,subproject-31,rca-54,program-46,24517,26226.82,24503.21,28815.03,22650.98,21325.96,project-14-subproject-31-rca-54program-46
project-3,subproject-13,rca-72,program-96,10814,5515.13,4801.8,3362.14,2357.81,2040.38,project-3-subproject-13-rca-72program-96
project-13,subproject-2,rca-61,program-48,6588,4403.34,4615.06,4473.21,3297.0,2727.72,project-13-subproject-2-rca-61program-48
project-8,subproject-18,rca-48,program-66,3089,3644.37,4325.3,3954.28,4379.57,4165.16,project-8-subproject-18-rca-48program-66
project-17,subproject-4,rca-56,program-36,8876,7276.8,5895.75,6066.6,5005.47,4275.14,project-17-subproject-4-rca-56program-36
project-12,subproject-31,rca-56,program-28,4277,4439.32,3635.51,3212.85,3473.45,3251.59,project-12-subproject-31-rca-56program-28
project-7,subproject-13,rca-43,program-32,25992,17058.74,14527.18,14959.26,10436.08,10328.75,project-7-subproject-13-rca-43program-32
project-11,subproject-7,rca-72,program-56,16705,13960.52,13996.84,12463.85,14154.21,12518.27,project-11-subproject-7-rca-72program-56
project-16,subproject-7,rca-21,program-14,13869,11671.06,11777.44,14519.08,10396.37,8341.69,project-16-subproject-7-rca-21program-14
project-17,subproject-22,rca-16,program-2,24909,15517.78,13438.19,13909.55,11671.97,11027.0,project-17-subproject-22-rca-16program-2
project-14,subproject-4,rca-33,program-95,4380,3091.34,3349.21,2755.37,2580.07,2569.82,project-14-subproject-4-rca-33program-95
project-9,subproject-30,rca-20,program-1,10868,6068.97,6194.65,5123.91,3160.23,3028.97,project-9-subproject-30-rca-20program-1
project-17,subproject-19,rca-72,program-106,22530,27001.17,23485.29,15255.9,13413.18,11881.39,project-17-subproject-19-rca-72program-106
project-19,subproject-20,rca-33,program-30,5521,5937.66,5730.02,3650.78,3043.68,2481.17,project-19-subproject-20-rca-33program-30
project-13,subproject-17,rca-45,program-24,19699,25226.7,30117.83,37595.69,24927.08,22492.67,project-13-subproject-17-rca-45program-24
project-4,subproject-40,rca-36,program-48,19659,19364.65,20233.79,15160.16,12571.49,10104.12,project-4-subproject-40-rca-36program-48
project-20,subproject-8,rca-58,program-114,19128,21132.87,23513.23,25180.53,28646.58,22991.58,project-20-subproject-8-rca-58program-114
project-11,subproject-19,rca-48,program-12,21285,25559.48,26227.88,23971.6,20341.42,16319.14,project-11-subproject-19-rca-48program-12
project-18,subproject-31,rca-56,program-6,21531,24757.6,27965.49,21993.0,26343.85,24696.16,project-18-subproject-31-rca-56program-6
project-19,subproject-34,rca-66,program-99,5948,3709.07,3650.87,3624.47,3197.79,2758.42,project-19-subproject-34-rca-66program-99
project-7,subproject-27,rca-77,program-99,20781,26207.3,25454.74,24145.55,16473.05,15625.74,project-7-subproject-27-rca-77program-99
project-4,subproject-1,rca-36,program-62,14831,10064.32,8897.5,5567.07,4700.94,4205.05,project-4-subproject-1-rca-36program-62
project-18,subproject-6,rca-13,program-67,23848,25361.19,25218.93,23659.69,19019.65,18053.23,project-18-subproject-6-rca-13program-67
project-4,subproject-15,rca-29,program-64,20018,13389.98,11246.26,7971.33,8868.27,8222.23,project-4-subproject-15-rca-29program-64
project-13,subproject-13,rca-52,program-109,1446,1565.03,1291.2,966.15,711.72,684.9,project-13-subproject-13-rca-52program-109
project-15,subproject-21,rca-10,program-119,8992,11535.95,12445.54,11774.96,12663.14,11371.83,project-15-subproject-21-rca-10program-119
project-3,subproject-24,rca-37,program-93,10998,8105.86,9675.48,6040.8,5748.39,4704.16,project-3-subproject-24-rca-37program-93
project-4,subproject-8,rca-66,program-118,15187,13472.6,14933.59,11257.54,10135.0,8517.18,project-4-subproject-8-rca-66program-118
project-9,subproject-30,rca-44,program-33,10941,8714.62,7269.96,8439.02,7264.85,6181.65,project-9-subproject-30-rca-44program-33
project-17,subproject-34,rca-30,program-43,6451,4812.98,5022.8,6057.4,5350.37,4820.27,project-17-subproject-34-rca-30program-43
project-16,subproject-39,rca-25,program-108,20524,15331.17,13223.91,12190.96,13432.39,12545.53,project-16-subproject-39-rca-25program-108
project-15,subproject-8,rca-63,program-61,4288,3106.82,3264.72,2393.93,2792.8,2296.0,project-15-subproject-8-rca-63program-61
project-5,subproject-38,rca-44,program-60,5931,4237.63,4382.45,4442.64,5065.48,4463.31,project-5-subproject-38-rca-44program-60
project-16,subproject-32,rca-14,program-42,15085,18688.01,16496.12,13945.84,9930.49,9733.62,project-16-subproject-32-rca-14program-42
project-14,subproject-33,rca-38,program-102,25946,21539.28,19922.9,13205.8,13046.98,11194.04,project-14-subproject-33-rca-38program-102
project-1,subproject-24,rca-51,program-65,4114,3772.34,4276.87,3537.51,2793.05,2554.24,project-1-subproject-24-rca-51program-65
project-19,subproject-19,rca-42,program-11,23759,14048.33,15225.67,11765.8,10724.92,9399.83,project-19-subproject-19-rca-42program-11
project-19,subproject-27,rca-13,program-38,12126,12446.25,11597.47,13672.5,13597.42,11103.73,project-19-subproject-27-rca-13program-38
project-9,subproject-37,rca-73,program-59,7420,4560.51,4109.57,3260.57,3251.07,3163.93,project-9-subproject-37-rca-73program-59
project-9,subproject-1,rca-34,program-99,6485,7935.03,7807.52,8351.38,6896.31,5612.02,project-9-subproject-1-rca-34program-99
project-14,subproject-14,rca-58,program-3,17069,17663.16,19873.4,25619.28,22143.04,19616.35,project-14-subproject-14-rca-58program-3
project-6,subproject-39,rca-17,program-66,23428,30064.07,33124.13,38521.19,34499.3,31661.52,project-6-subproject-39-rca-17program-66
project-18,subproject-37,rca-13,program-87,4041,3675.94,3388.65,2599.05,1962.0,1863.44,project-18-subproject-37-rca-13program-87
project-6,subproject-18,rca-70,program-83,17734,11914.59,13980.85,16877.18,12261.93,11487.16,project-6-subproject-18-rca-70program-83
project-6,subproject-34,rca-39,program-95,23844,23630.7,28253.25,32479.42,26547.01,24464.18,project-6-subproject-34-rca-39program-95
project-3,subproject-22,rca-72,program-73,2711,1357.3,1412.97,1800.93,1713.53,1478.21,project-3-subproject-22-rca-72program-73
project-2,subproject-12,rca-69,program-16,7931,6834.21,7983.3,8456.97,7963.52,7709.16,project-2-subproject-12-rca-69program-16
project-15,subproject-29,rca-17,program-48,17642,17690.39,17495.1,18111.82,19253.9,15736.95,project-15-subproject-29-rca-17program-48
project-3,subproject-15,rca-57,program-25,8544,5441.39,5458.84,5748.42,6166.14,6137.12,project-3-subproject-15-rca-57program-25
project-16,subproject-13,rca-33,program-28,14535,9007.17,9520.48,6345.65,5576.39,5566.38,project-16-subproject-13-rca-33program-28
project-15,subproject-6,rca-64,program-120,22167,12967.94,13147.02,14255.19,16442.19,13897.02,project-15-subproject-6-rca-64program-120
project-3,subproject-22,rca-78,program-27,20637,23043.18,25509.18,19245.15,21076.19,19348.17,project-3-subproject-22-rca-78program-27
project-7,subproject-25,rca-4,program-65,11845,14720.74,15610.53,19735.54,15275.96,12283.23,project-7-subproject-25-rca-4program-65
project-4,subproject-31,rca-38,program-13,26806,21690.09,23665.37,15741.77,11153.59,10250.15,project-4-subproject-31-rca-38program-13
project-16,subproject-28,rca-72,program-106,23396,18608.54,20811.62,17695.78,15309.94,13131.69,project-16-subproject-28-rca-72program-106
project-8,subproject-21,rca-39,program-8,28151,20451.22,19640.75,14244.97,11445.56,9591.9,project-8-subproject-21-rca-39program-8
project-3,subproject-34,rca-40,program-81,19865,15941.66,13800.02,10552.22,7791.3,7659.83,project-3-subproject-34-rca-40program-81
project-10,subproject-34,rca-51,program-8,25993,32614.93,37996.14,34215.92,36863.67,34770.19,project-10-subproject-34-rca-51program-8
project-1,subproject-19,rca-15,program-120,22136,21257.36,23858.33,23428.22,15945.28,15331.48,project-1-subproject-19-rca-15program-120
project-14,subproject-33,rca-41,program-54,29698,15615.17,17073.09,19495.56,20648.27,17209.89,project-14-subproject-33-rca-41program-54
project-8,subproject-29,rca-31,program-115,3739,3344.92,3397.83,4099.14,4221.03,3724.29,project-8-subproject-29-rca-31program-115
project-7,subproject-13,rca-7,program-32,22958,19550.72,19091.68,19984.42,12472.22,11811.1,project-7-subproject-13-rca-7program-32
project-8,subproject-29,rca-42,program-113,21924,19526.78,17164.5,13450.5,16052.52,13511.89,project-8-subproject-29-rca-42program-113
project-15,subproject-33,rca-66,program-110,6825,5814.5,6033.37,4794.06,5397.84,4800.34,project-15-subproject-33-rca-66program-110
project-9,subproject-10,rca-22,program-53,20602,15508.77,18046.11,14047.75,15078.86,12869.02,project-9-subproject-10-rca-22program-53
project-12,subproject-3,rca-14,program-12,12882,15394.78,14804.39,12846.83,9637.61,7762.2,project-12-subproject-3-rca-14program-12
project-10,subproject-7,rca-20,program-105,2805,1801.79,1996.31,1734.98,1662.47,1404.28,project-10-subproject-7-rca-20program-105
project-17,subproject-25,rca-24,program-40,25952,23752.67,19652.93,22522.57,18334.46,15838.53,project-17-subproject-25-rca-24program-40
project-13,subproject-31,rca-19,program-92,28255,26043.45,27785.45,26360.46,30684.11,29219.86,project-13-subproject-31-rca-19program-92
project-6,subproject-26,rca-75,program-20,8651,9796.71,10545.27,11921.55,12443.59,10607.35,project-6-subproject-26-rca-75program-20
project-13,subproject-40,rca-45,program-102,19300,25074.37,21600.8,13469.24,9617.08,7978.53,project-13-subproject-40-rca-45program-102
project-4,subproject-24,rca-24,program-114,25779,21469.12,24012.13,16196.39,16663.73,14986.31,project-4-subproject-24-rca-24program-114
project-1,subproject-34,rca-15,program-16,18409,22555.22,20098.81,14779.56,15309.81,14713.78,project-1-subproject-34-rca-15program-16
project-4,subproject-38,rca-56,program-34,15843,15603.61,16845.73,21382.94,13764.9,12860.01,project-4-subproject-38-rca-56program-34
project-19,subproject-5,rca-25,program-111,5174,6599.94,7243.45,9320.85,8132.47,7976.99,project-19-subproject-5-rca-25program-111
project-7,subproject-35,rca-76,program-113,29568,25728.54,23669.74,29507.96,20772.87,20475.07,project-7-subproject-35-rca-76program-113
project-7,subproject-30,rca-29,program-84,1364,1036.1,1020.23,730.29,535.43,463.36,project-7-subproject-30-rca-29program-84
project-20,subproject-18,rca-31,program-50,12160,7478.47,8964.16,10611.35,8518.74,6843.08,project-20-subproject-18-rca-31program-50
project-17,subproject-27,rca-55,program-6,22921,17246.43,14431.78,9146.96,9230.19,8631.22,project-17-subproject-27-rca-55program-6
project-1,subproject-35,rca-17,program-107,1859,1018.08,1050.88,1294.08,1514.01,1416.13,project-1-subproject-35-rca-17program-107
project-14,subproject-25,rca-44,program-29,4999,6056.52,6713.97,7189.35,6869.91,6517.76,project-14-subproject-25-rca-44program-29
project-7,subproject-4,rca-80,program-89,1758,1204.73,1194.22,1377.28,1569.47,1365.44,project-7-subproject-4-rca-80program-89
project-15,subproject-3,rca-54,program-113,2473,2728.83,3146.71,3390.97,3047.46,2803.92,project-15-subproject-3-rca-54program-113
project-14,subproject-39,rca-36,program-75,25086,31392.17,37080.67,39816.96,33969.02,31692.67,project-14-subproject-39-rca-36program-75
project-9,subproject-35,rca-27,program-9,21739,24626.54,23365.37,23269.21,22466.23,18612.32,project-9-subproject-35-rca-27program-9
project-6,subproject-1,rca-8,program-11,1611,949.0,792.71,774.9,578.39,467.39,project-6-subproject-1-rca-8program-11
project-7,subproject-37,rca-75,program-114,28404,15756.01,17014.84,13817.29,13594.43,12469.31,project-7-subproject-37-rca-75program-114
project-14,subproject-11,rca-63,program-2,10068,5395.53,5142.34,4404.86,4686.54,4464.14,project-14-subproject-11-rca-63program-2
project-6,subproject-25,rca-13,program-22,7905,6730.86,7801.06,7364.87,8365.3,8096.02,project-6-subproject-25-rca-13program-22
project-16,subproject-3,rca-50,program-30,13959,17437.68,20853.56,16425.01,17744.03,15842.76,project-16-subproject-3-rca-50program-30
project-2,subproject-31,rca-12,program-31,7084,4964.11,4318.5,3809.01,4331.38,4285.45,project-2-subproject-31-rca-12program-31
project-19,subproject-4,rca-11,program-101,29014,35708.08,40423.47,25739.56,24701.73,23597.47,project-19-subproject-4-rca-11program-101
project-20,subproject-15,rca-32,program-79,7658,3845.78,4220.82,4667.19,3540.75,3169.04,project-20-subproject-15-rca-32program-79
project-18,subproject-3,rca-63,program-57,24155,25753.35,26747.16,29133.52,26553.4,24987.13,project-18-subproject-3-rca-63program-57
project-17,subproject-30,rca-33,program-85,20424,19836.03,22085.72,24734.77,18829.43,15722.8,project-17-subproject-30-rca-33program-85
project-18,subproject-20,rca-26,program-108,25979,28368.93,33342.82,39851.12,33400.01,29282.31,project-18-subproject-20-rca-26program-108
project-19,subproject-19,rca-43,program-108,22680,28156.61,33013.99,42594.6,45922.05,40328.32,project-19-subproject-19-rca-43program-108
project-17,subproject-21,rca-57,program-60,28741,18806.71,16068.15,19721.41,17209.48,14753.13,project-17-subproject-21-rca-57program-60
project-12,subproject-39,rca-11,program-26,25971,23870.35,19659.42,17577.5,18446.87,15151.52,project-12-subproject-39-rca-11program-26
project-8,subproject-35,rca-26,program-4,7375,3923.26,3744.11,3178.73,2038.76,1649.22,project-8-subproject-35-rca-26program-4
project-19,subproject-8,rca-17,program-78,11929,15055.72,12634.11,8229.26,8227.34,7974.42,project-19-subproject-8-rca-17program-78
project-19,subproject-22,rca-30,program-33,12503,13813.1,11461.54,14099.55,8635.84,7691.73,project-19-subproject-22-rca-30program-33
project-18,subproject-22,rca-14,program-100,12860,13566.31,11953.25,9556.05,10364.29,10083.78,project-18-subproject-22-rca-14program-100
project-2,subproject-15,rca-77,program-80,17354,14115.59,11598.55,9974.98,7144.66,6135.11,project-2-subproject-15-rca-77program-80
project-15,subproject-30,rca-40,program-88,23722,13813.08,12136.65,10548.06,10284.7,8723.88,project-15-subproject-30-rca-40program-88
project-10,subproject-27,rca-15,program-100,13914,9793.38,8280.17,7364.86,5677.6,5525.04,project-10-subproject-27-rca-15program-100
project-20,subproject-39,rca-1,program-70,6230,5808.95,6320.88,4152.34,3969.81,3823.33,project-20-subproject-39-rca-1program-70
project-13,subproject-14,rca-33,program-88,5808,2911.72,2786.23,3609.25,2456.77,2292.3,project-13-subproject-14-rca-33program-88
project-1,subproject-40,rca-64,program-39,26174,25563.13,27208.19,22705.79,23174.59,19422.21,project-1-subproject-40-rca-64program-39
project-11,subproject-39,rca-39,program-62,22257,28279.83,31079.45,25674.06,18967.93,18448.32,project-11-subproject-39-rca-39program-62
project-16,subproject-15,rca-54,program-93,16523,18240.09,21641.13,21106.54,12717.63,12065.52,project-16-subproject-15-rca-54program-93
project-16,subproject-9,rca-5,program-86,16713,9271.13,9363.18,5619.52,5480.33,5388.64,project-16-subproject-9-rca-5program-86
project-5,subproject-25,rca-4,program-49,14272,8023.23,7539.82,5818.12,6469.75,5831.82,project-5-subproject-25-rca-4program-49
project-17,subproject-9,rca-68,program-42,4373,3137.07,3030.28,3285.08,3228.54,2961.97,project-17-subproject-9-rca-68program-42
project-4,subproject-24,rca-75,program-19,14373,17502.47,18137.37,20545.89,16415.4,16406.44,project-4-subproject-24-rca-75program-19
project-5,subproject-19,rca-2,program-107,28915,16183.08,15801.28,9814.2,6494.6,5847.49,project-5-subproject-19-rca-2program-107
project-4,subproject-15,rca-53,program-105,19977,24069.24,21475.72,24020.3,19429.44,15980.6,project-4-subproject-15-rca-53program-105
project-16,subproject-28,rca-13,program-120,29747,20472.92,21671.2,14879.47,17143.0,15256.29,project-16-subproject-28-rca-13program-120
project-6,subproject-13,rca-77,program-115,21000,21415.55,24915.63,20270.37,22821.73,22122.04,project-6-subproject-13-rca-77program-115
project-15,subproject-6,rca-14,program-57,24808,24483.21,23520.06,29500.97,29216.61,26137.97,project-15-subproject-6-rca-14program-57
project-11,subproject-13,rca-73,program-27,28080,31326.64,32577.83,29214.7,19878.27,16513.96,project-11-subproject-13-rca-73program-27
project-14,subproject-15,rca-5,program-9,10434,9033.7,9192.37,9146.79,7900.61,7191.87,project-14-subproject-15-rca-5program-9
project-6,subproject-31,rca-14,program-6,23719,28311.06,23890.47,29282.75,34823.73,32340.81,project-6-subproject-31-rca-14program-6
project-12,subproject-40,rca-56,program-63,28263,14658.06,14124.66,15797.25,12208.7,12013.74,project-12-subproject-40-rca-56program-63
project-10,subproject-39,rca-35,program-81,26411,27879.04,23698.96,28718.08,25654.22,22054.01,project-10-subproject-39-rca-35program-81
project-2,subproject-16,rca-12,program-33,2874,2761.53,2457.54,2185.79,2365.6,2178.35,project-2-subproject-16-rca-12program-33
project-10,subproject-4,rca-77,program-3,6658,4764.18,4733.79,4431.25,4732.51,4544.86,project-10-subproject-4-rca-77program-3
project-3,subproject-5,rca-5,program-56,25330,22654.04,27182.81,23300.21,23602.18,20969.98,project-3-subproject-5-rca-5program-56
project-20,subproject-25,rca-76,program-40,7659,5658.98,5009.7,5117.66,5851.13,5557.43,project-20-subproject-25-rca-76program-40
project-14,subproject-26,rca-56,program-47,29862,21756.3,19114.25,24261.76,23318.2,22541.77,project-14-subproject-26-rca-56program-47
project-16,subproject-9,rca-22,program-43,9590,5510.97,6216.04,5477.53,5172.54,4832.59,project-16-subproject-9-rca-22program-43
project-14,subproject-31,rca-5,program-2,19869,24765.93,26977.81,30070.37,18087.42,16746.76,project-14-subproject-31-rca-5program-2
project-14,subproject-23,rca-8,program-22,23139,18003.71,16404.75,13120.89,7959.55,6866.42,project-14-subproject-23-rca-8program-22
project-12,subproject-33,rca-9,program-79,18321,22888.41,23809.83,25457.93,22266.73,20377.42,project-12-subproject-33-rca-9program-79
project-9,subproject-34,rca-2,program-116,28631,14463.32,17318.18,18089.15,15742.48,15431.29,project-9-subproject-34-rca-2program-116
project-5,subproject-10,rca-64,program-52,3060,3582.42,3365.26,4296.11,3558.19,3234.67,project-5-subproject-10-rca-64program-52
project-15,subproject-11,rca-69,program-44,23917,15856.85,15876.05,13248.11,13198.78,10930.66,project-15-subproject-11-rca-69program-44
project-20,subproject-39,rca-8,program-2,1467,1669.87,1760.57,1095.14,828.83,748.82,project-20-subproject-39-rca-8program-2
project-7,subproject-26,rca-9,program-82,4622,5080.99,6073.09,7129.12,7539.76,7137.37,project-7-subproject-26-rca-9program-82
project-9,subproject-34,rca-8,program-112,29592,36931.58,38113.36,37300.2,42725.31,38454.41,project-9-subproject-34-rca-8program-112
project-16,subproject-13,rca-75,program-68,29210,19095.51,16412.61,14373.73,10366.27,8577.97,project-16-subproject-13-rca-75program-68
project-9,subproject-1,rca-67,program-106,10303,12749.57,13989.56,9951.44,10079.83,9003.48,project-9-subproject-1-rca-67program-106
project-8,subproject-19,rca-53,program-113,12082,12795.31,10786.95,12451.59,13777.3,12986.06,project-8-subproject-19-rca-53program-113
project-13,subproject-15,rca-64,program-99,19414,17770.36,16681.24,16429.17,14075.49,12673.98,project-13-subproject-15-rca-64program-99
project-12,subproject-9,rca-26,program-24,12509,14094.58,13861.34,14832.27,15189.91,13222.64,project-12-subproject-9-rca-26program-24
project-14,subproject-28,rca-79,program-87,8736,8150.28,9266.83,11085.05,8241.95,7543.73,project-14-subproject-28-rca-79program-87
project-16,subproject-11,rca-31,program-77,22623,29251.03,33012.65,28081.86,26419.98,25465.97,project-16-subproject-11-rca-31program-77
project-7,subproject-20,rca-80,program-120,27301,26637.32,28720.05,32698.65,33061.44,32349.27,project-7-subproject-20-rca-80program-120
project-13,subproject-17,rca-17,program-67,14743,10427.67,12360.58,13743.99,15011.83,12711.4,project-13-subproject-17-rca-17program-67
project-14,subproject-19,rca-50,program-1,15538,12594.8,13617.16,17517.44,16171.57,14944.73,project-14-subproject-19-rca-50program-1
project-11,subproject-32,rca-40,program-66,29618,35197.16,37203.72,25990.8,29118.05,28655.4,project-11-subproject-32-rca-40program-66
project-11,subproject-31,rca-36,program-99,21434,18771.31,17409.9,11414.94,7770.87,7762.73,project-11-subproject-31-rca-36program-99
project-9,subproject-32,rca-55,program-118,2332,1315.62,1167.59,934.53,731.55,628.62,project-9-subproject-32-rca-55program-118
project-1,subproject-28,rca-36,program-43,10030,5293.59,5767.76,7040.75,6301.3,5572.41,project-1-subproject-28-rca-36program-43
project-3,subproject-5,rca-29,program-73,6106,5632.43,4950.04,4110.4,4014.51,3972.91,project-3-subproject-5-rca-29program-73
project-9,subproject-33,rca-58,program-74,8991,11463.14,12836.04,15924.32,15225.77,14374.99,project-9-subproject-33-rca-58program-74
project-11,subproject-36,rca-29,program-65,12579,9727.09,9169.48,8829.45,5583.2,5416.1,project-11-subproject-36-rca-29program-65
project-10,subproject-15,rca-42,program-51,10714,12080.98,12201.18,10090.47,6728.84,6296.99,project-10-subproject-15-rca-42program-51
project-3,subproject-12,rca-65,program-117,6281,5669.84,5885.32,6747.63,8095.44,7331.78,project-3-subproject-12-rca-65program-117
project-8,subproject-15,rca-48,program-87,13328,10317.59,9718.49,11647.18,12474.57,11779.09,project-8-subproject-15-rca-48program-87
project-6,subproject-25,rca-22,program-10,19232,10460.07,8967.31,6427.59,6923.65,5651.14,project-6-subproject-25-rca-22program-10
project-2,subproject-17,rca-63,program-89,10103,6696.36,7774.69,9504.65,7615.82,6119.76,project-2-subproject-17-rca-63program-89
project-20,subproject-15,rca-70,program-36,15931,12545.58,10427.51,6334.1,4873.18,4356.23,project-20-subproject-15-rca-70program-36
project-9,subproject-1,rca-53,program-44,21231,17774.12,16928.76,18491.66,12722.46,10289.58,project-9-subproject-1-rca-53program-44
project-19,subproject-29,rca-25,program-6,29799,24293.7,23450.9,21954.69,22304.4,21096.86,project-19-subproject-29-rca-25program-6
project-9,subproject-27,rca-55,program-9,15175,8450.67,9679.6,10200.44,11309.8,10445.54,project-9-subproject-27-rca-55program-9
project-13,subproject-23,rca-26,program-50,15077,11501.9,9821.43,7385.18,5301.35,4702.93,project-13-subproject-23-rca-26program-50
project-16,subproject-15,rca-36,program-41,5008,6442.36,5947.98,5256.8,6052.47,5073.86,project-16-subproject-15-rca-36program-41
project-1,subproject-28,rca-30,program-43,9923,10787.25,11127.7,9604.79,9486.92,8964.36,project-1-subproject-28-rca-30program-43
project-2,subproject-16,rca-66,program-21,4167,3113.75,3605.75,3814.04,4426.32,3552.35,project-2-subproject-16-rca-66program-21
project-1,subproject-33,rca-66,program-9,12442,9548.63,10536.27,9641.96,8573.47,8267.07,project-1-subproject-33-rca-66program-9
project-9,subproject-21,rca-43,program-19,20605,16559.12,15520.22,15969.78,18649.14,18400.64,project-9-subproject-21-rca-43program-19
project-2,subproject-9,rca-24,program-38,20111,15647.49,17883.42,20329.2,14940.75,14436.03,project-2-subproject-9-rca-24program-38
project-4,subproject-31,rca-60,program-21,13574,7189.96,5766.62,5017.82,5363.29,4428.4,project-4-subproject-31-rca-60program-21
project-10,subproject-12,rca-37,program-90,18003,21235.86,20741.97,24866.51,15911.66,13603.24,project-10-subproject-12-rca-37program-90
project-13,subproject-31,rca-2,program-98,19061,9885.22,10923.74,9072.43,8584.01,7339.92,project-13-subproject-31-rca-2program-98
project-9,subproject-11,rca-63,program-71,2658,2881.51,2673.37,3177.65,3203.51,3048.31,project-9-subproject-11-rca-63program-71
project-10,subproject-34,rca-19,program-53,25765,32791.65,26239.01,16000.15,18495.88,18410.66,project-10-subproject-34-rca-19program-53
project-12,subproject-8,rca-32,program-41,7480,9184.73,8301.48,9841.32,6555.06,5256.46,project-12-subproject-8-rca-32program-41
project-7,subproject-16,rca-73,program-18,14368,13550.57,12855.4,13759.97,15930.37,15041.1,project-7-subproject-16-rca-73program-18
project-14,subproject-20,rca-3,program-76,10511,7349.64,7685.63,5289.89,4630.77,4214.77,project-14-subproject-20-rca-3program-76
project-18,subproject-34,rca-55,program-87,26882,32131.28,30982.97,34544.99,23941.41,21153.52,project-18-subproject-34-rca-55program-87
project-20,subproject-16,rca-67,program-53,10414,6335.47,5926.86,4958.47,3637.34,2955.06,project-20-subproject-16-rca-67program-53
project-8,subproject-27,rca-27,program-49,11861,7982.3,7618.48,8416.79,8958.65,8566.68,project-8-subproject-27-rca-27program-49
project-1,subproject-38,rca-40,program-40,11481,6091.4,5286.88,3443.57,2460.96,2342.25,project-1-subproject-38-rca-40program-40
project-20,subproject-21,rca-39,program-83,14989,12140.54,10870.81,9612.08,8341.5,7839.73,project-20-subproject-21-rca-39program-83
project-6,subproject-2,rca-8,program-81,2345,2976.09,3472.19,2425.77,2510.06,2173.04,project-6-subproject-2-rca-8program-81
project-2,subproject-16,rca-65,program-54,13433,16051.73,14740.09,9632.67,11147.94,10737.66,project-2-subproject-16-rca-65program-54
project-17,subproject-35,rca-35,program-26,22911,15207.22,13532.17,9762.02,9191.87,7841.0,project-17-subproject-35-rca-35program-26
project-6,subproject-8,rca-15,program-107,16791,13793.04,12151.42,10821.41,9530.28,9181.77,project-6-subproject-8-rca-15program-107
project-18,subproject-12,rca-54,program-106,9530,10294.64,9571.43,10387.73,9177.11,8342.39,project-18-subproject-12-rca-54program-106
project-16,subproject-4,rca-61,program-118,8116,4563.37,4681.65,5068.43,3228.46,2705.56,project-16-subproject-4-rca-61program-118
project-13,subproject-34,rca-44,program-43,20489,18556.05,19211.9,23515.2,23454.17,20063.51,project-13-subproject-34-rca-44program-43
project-16,subproject-17,rca-31,program-2,9203,6527.56,6306.34,4998.51,3780.23,3566.52,project-16-subproject-17-rca-31program-2
project-13,subproject-17,rca-66,program-84,16808,11659.15,11536.52,12695.84,12606.45,11421.5,project-13-subproject-17-rca-66program-84
project-5,subproject-8,rca-34,program-14,11971,11281.37,12467.74,8545.88,6584.41,5848.59,project-5-subproject-8-rca-34program-14
project-2,subproject-29,rca-61,program-4,6694,8272.87,8576.77,7861.99,5949.34,5606.62,project-2-subproject-29-rca-61program-4
project-6,subproject-2,rca-46,program-10,25487,29316.21,33518.36,37871.29,28336.16,26518.52,project-6-subproject-2-rca-46program-10
project-8,subproject-16,rca-10,program-75,17141,19863.66,20617.0,17714.16,14573.74,13052.29,project-8-subproject-16-rca-10program-75
project-4,subproject-39,rca-7,program-15,15069,15795.33,17945.59,12053.83,7307.57,5994.09,project-4-subproject-39-rca-7program-15
project-9,subproject-7,rca-79,program-42,19097,17714.42,16580.72,18370.74,15663.09,12993.66,project-9-subproject-7-rca-79program-42
project-9,subproject-36,rca-16,program-58,19630,20397.48,21963.63,26119.4,16641.54,15025.73,project-9-subproject-36-rca-16program-58
project-2,subproject-4,rca-15,program-69,1585,938.57,1071.17,935.66,1105.84,897.21,project-2-subproject-4-rca-15program-69
project-19,subproject-22,rca-15,program-41,17680,11605.17,13072.8,12814.93,11474.31,11446.56,project-19-subproject-22-rca-15program-41
project-16,subproject-22,rca-35,program-39,28147,29853.21,28849.63,26101.81,24213.5,20988.5,project-16-subproject-22-rca-35program-39
project-12,subproject-26,rca-61,program-63,8589,5000.79,4496.42,5225.18,5315.59,4436.9,project-12-subproject-26-rca-61program-63
project-13,subproject-34,rca-4,program-103,19580,18822.99,17463.64,20526.85,23167.92,22469.64,project-13-subproject-34-rca-4program-103
project-18,subproject-25,rca-71,program-5,25183,19822.47,16495.62,18342.5,15020.49,13099.27,project-18-subproject-25-rca-71program-5
project-14,subproject-8,rca-44,program-34,10106,8613.81,7883.54,8575.55,6459.1,5895.27,project-14-subproject-8-rca-44program-34
project-18,subproject-33,rca-74,program-51,3937,4710.15,4512.28,4590.21,3776.8,3251.0,project-18-subproject-33-rca-74program-51
